question,reference_answer,expected_chunk,source_doc,query_type,difficulty,notes
"How many days of PTO do full-time salaried employees get at Orion?","Full-time exempt (salaried) employees have a flexible PTO policy with no preset cap on days. They are expected to take at least 15 days off per year and are encouraged to take 20-25 days. PTO must be scheduled with manager approval.","Orion provides a flexible PTO policy for all full-time exempt employees, meaning there is no preset cap on PTO days. Employees are expected to take at least 15 days off per year and are encouraged to take 20-25 days. PTO must be scheduled with manager approval, taking into account business needs and team coverage.","orion-technologies-employee-handbook.pdf, p.14",factual,easy,"Tests whether the system says no cap rather than a specific number. A wrong answer might say 20 days or unlimited — missing both the 15-day minimum expectation and the manager approval requirement."
"How much does Orion match in the 401(k) plan?","Orion matches 100% of employee contributions up to 5% of base salary. The employer match vests over 3 years: 33% after year one, 67% after year two, and 100% after year three.","Orion matches 100% of employee contributions up to 5% of base salary. Employer match vests over 3 years: 33% after year 1, 67% after year 2, 100% after year 3.","orion-technologies-employee-handbook.pdf, p.12",factual,easy,"Two-part answer: match percentage AND vesting schedule. A wrong answer might state the match percentage but omit the 3-year vesting — leading an employee to wrongly assume the match is theirs immediately."
"How many sick days are full-time employees entitled to each year?","Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year. Sick leave does not carry over from year to year and is not paid out upon termination.","Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year. Sick leave does not carry over from year to year and is not paid out upon termination.","orion-technologies-employee-handbook.pdf, p.14",factual,easy,"Tests whether the no-carryover detail is included — it is the most practically important part of the policy. A wrong answer gives only the number of days without the carryover caveat."
"What is the RSU vesting schedule at Orion?","RSUs vest over 4 years with a 1-year cliff: 25% vests after 12 months, then 1/48th per month for the remaining 36 months.","Standard vesting schedule is 4 years with a 1-year cliff: 25% vests after 12 months, then 1/48 per month for the remaining 36 months.","orion-technologies-employee-handbook.pdf, p.10",factual,medium,"Tests whether the system captures the cliff structure correctly. A wrong answer might say 25% per year (simplified) rather than cliff at 12 months then monthly. The distinction matters if an employee is considering leaving at month 11."
"Is there a minimum length of service before an employee is eligible for the annual performance bonus?","Yes. Employees must have a minimum of three months of employment in the performance year, be actively employed on the payment date, and have a rating of Meets Expectations or above.","A minimum of three months of employment in the performance year. Active employment on the date of payment. A performance rating of Meets Expectations or above.","orion-technologies-employee-handbook.pdf, p.10",factual,medium,"Tests whether the system returns all three eligibility conditions together. A partial answer that states only the tenure requirement misses the active employment and rating conditions that are equally important."
"How long does Orion's short-term disability coverage last and what percentage of salary does it pay?","Short-Term Disability pays 60% of base salary, up to $2,500 per week, for up to 12 weeks.","Short-Term Disability (STD): 60% of base salary, up to $2,500/week, for up to 12 weeks.","orion-technologies-employee-handbook.pdf, p.12",factual,medium,"Three facts in one answer: percentage of pay (60%), weekly cap ($2,500), and maximum duration (12 weeks). A wrong answer typically gets the percentage right but omits the weekly cap or the duration."
"How much notice does a Director need to give when resigning from Orion?","Directors and above are expected to give 6 weeks notice when resigning.","Director and above: 6 weeks [notice period upon voluntary resignation].","orion-technologies-employee-handbook.pdf, p.23",factual,easy,"Tests the highest-level row of the notice period table. A wrong answer might return 2 weeks (the IC1-IC3 rate) if the system fails to read the correct row for Director level."
"I'm about to have a baby — how much paid leave will I get from Orion?","If you are the primary caregiver you receive 20 weeks at 100% base salary. If you are the secondary caregiver you receive 8 weeks at 100% base salary. Both apply to all full-time employees regardless of gender.","Primary Caregiver Leave: 20 weeks, 100% of base salary. Secondary Caregiver Leave: 8 weeks, 100% of base salary. All full-time employees.","orion-technologies-employee-handbook.pdf, p.15",paraphrase,easy,"Same answer as the primary caregiver factual row but conversational phrasing. Tests whether the embedding model connects about to have a baby with parental leave. A system too dependent on keyword matching may not retrieve the parental leave section."
"If I'm not feeling well, how much paid time off can I take?","Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year. For absences of 5 or more consecutive days a doctor's note is required.","Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year. For absences of 5 or more consecutive days, a doctor's note is required.","orion-technologies-employee-handbook.pdf, p.14",paraphrase,easy,"Same answer as the sick leave factual row but with no mention of sick leave in the question. Tests semantic retrieval — not feeling well must map to sick leave. A system matching only on the word sick will miss this query."
"My mother just passed away. How much time off can I take?","Orion provides 5 paid days of bereavement leave for the death of a parent, who is classified as immediate family. No PTO needs to be used for this time.","Immediate family (spouse, child, parent, sibling, grandparent): 5 paid days.","orion-technologies-employee-handbook.pdf, p.15",paraphrase,easy,"Same answer as the bereavement factual row but personal and emotionally framed. My mother must map to parent in the immediate family category. Tests whether the system handles sensitive queries with the same accuracy as neutral ones."
