question,query_type,reference_answer,actual_answer,bleu_score,rouge_score
How many days of PTO do full-time salaried employees get at Orion?,factual,Full-time exempt (salaried) employees have a flexible PTO policy with no preset cap on days. They are expected to take at least 15 days off per year and are encouraged to take 20-25 days. PTO must be scheduled with manager approval.,"According to the handbook, full-time exempt (salaried) employees at Orion have a **flexible PTO policy with no preset cap on PTO days**.

However, employees are:
- **Expected to take at least 15 days off per year**
- **Encouraged to take 20-25 days**

So while there is no maximum limit, the company expects and encourages employees to take between 15-25 days of PTO annually. PTO must be scheduled with manager approval, taking into account business needs and team coverage.",0.3094,0.6557
How much does Orion match in the 401(k) plan?,factual,"Orion matches 100% of employee contributions up to 5% of base salary. The employer match vests over 3 years: 33% after year one, 67% after year two, and 100% after year three.","According to the handbook, Orion matches **100% of employee contributions up to 5% of base salary** in the 401(k) plan.

The employer match vests over 3 years:
- 33% after year 1
- 67% after year 2
- 100% after year 3",0.4621,0.7778
How many sick days are full-time employees entitled to each year?,factual,Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year. Sick leave does not carry over from year to year and is not paid out upon termination.,"According to the employee handbook, full-time employees receive **10 days (80 hours) of paid sick leave per calendar year**.",0.3849,0.5769
What is the RSU vesting schedule at Orion?,factual,"RSUs vest over 4 years with a 1-year cliff: 25% vests after 12 months, then 1/48th per month for the remaining 36 months.","According to the employee handbook, the standard RSU vesting schedule at Orion is **4 years with a 1-year cliff**:

* **25% vests after 12 months** (the cliff)
* **1/48 per month vests for the remaining 36 months** (the remaining 75%)

RSU grants are subject to approval by the Board of Directors Compensation Committee. Tax withholding on RSU vesting is handled automatically by Orion's equity administrator, Carta.",0.1475,0.4783
Is there a minimum length of service before an employee is eligible for the annual performance bonus?,factual,"Yes. Employees must have a minimum of three months of employment in the performance year, be actively employed on the payment date, and have a rating of Meets Expectations or above.","Yes, there is a minimum length of service requirement for the annual performance bonus. According to Section 5.4, eligibility requires:

* **A minimum of three months of employment in the performance year.**

Additionally, to be eligible for the annual performance bonus, an employee must also:
* Be actively employed on the date of payment (in March)
* Have a performance rating of 'Meets Expectations' or above",0.1995,0.5474
How long does Orion's short-term disability coverage last and what percentage of salary does it pay?,factual,"Short-Term Disability pays 60% of base salary, up to $2,500 per week, for up to 12 weeks.","According to the handbook, Orion's Short-Term Disability (STD) coverage:

- **Duration:** Up to 12 weeks
- **Pay:** 60% of base salary, up to $2,500/week",0.259,0.5778
How much notice does a Director need to give when resigning from Orion?,factual,Directors and above are expected to give 6 weeks notice when resigning.,"According to the Employee Handbook, a Director needs to give **6 weeks notice** when resigning from Orion.

This is outlined in Section 13.1 (Voluntary Resignation), which specifies notice periods by level:
- IC1 - IC3: 2 weeks
- IC4 - IC5 / Manager: 4 weeks
- **Director and above: 6 weeks**

However, the handbook also notes that Orion may, at its discretion, accept shorter notice, place the employee on garden leave for the notice period, or waive the notice period entirely.",0.0146,0.1818
I'm about to have a baby — how much paid leave will I get from Orion?,paraphrase,If you are the primary caregiver you receive 20 weeks at 100% base salary. If you are the secondary caregiver you receive 8 weeks at 100% base salary. Both apply to all full-time employees regardless of gender.,"Congratulations on your upcoming baby! Here's what Orion provides for parental leave:

**As the Primary Caregiver:** You're eligible for **20 weeks of paid leave at 100% of your base salary** (if you're a full-time employee).

**As the Secondary Caregiver:** If your partner is the primary caregiver, you're eligible for **8 weeks of paid leave at 100% of your base salary**.

**Important details:**
- Your parental leave must begin within 12 months of your baby's birth
- You should provide at least 30 days' advance notice where possible
- You can take the leave consecutively or intermittently (with your manager's agreement)

Orion's parental leave policy applies regardless of gender or parental role, so these benefits are available to all full-time employees.

If you have questions about which category applies to your situation or how to request your leave, I'd recommend reaching out to your People team for guidance.",0.0456,0.2917
"If I'm not feeling well, how much paid time off can I take?",paraphrase,Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year. For absences of 5 or more consecutive days a doctor's note is required.,"Based on the handbook, if you're not feeling well, you can use **sick leave**. Here's what's available:

**Full-time employees receive 10 days (80 hours) of paid sick leave per calendar year.**

Sick leave can be used for:
* Your own physical or mental illness, injury, or medical appointments
* Care of an immediate family member (spouse, child, parent, sibling, grandparent, or domestic partner) who is ill
* Medical appointments that cannot be scheduled outside work hours

**Important note:** If you need to be absent for 5 or more consecutive days, a doctor's note is required.

Also keep in mind that sick leave does not carry over from year to year and is not paid out upon termination.",0.1608,0.3784
My mother just passed away. How much time off can I take?,paraphrase,"Orion provides 5 paid days of bereavement leave for the death of a parent, who is classified as immediate family. No PTO needs to be used for this time.","I'm sorry for your loss. According to Orion's bereavement leave policy, you are entitled to **5 paid days** of bereavement leave for the death of an immediate family member, which includes your parent.

If you need to take this leave, please make sure to log your absence in WorkDay within 24 hours.

If you need additional time beyond the 5 paid days, you may also request an unpaid personal leave of absence of up to 3 months for family reasons, though this would require approval from your manager and the People team based on business needs.",0.0758,0.2677
