question,reference_answer,expected_chunk,source_doc,query_type,difficulty,notes
"How long is parental leave for the primary caregiver at Orion?","Primary caregivers receive 20 weeks of parental leave at 100% of base salary. This applies to all full-time employees regardless of gender or how they became a parent.","Primary Caregiver Leave: 20 weeks, 100% of base salary, All full-time employees. Orion provides generous parental leave regardless of gender, parental role, or method of becoming a parent.","orion-technologies-employee-handbook.pdf, p.15",factual,easy,"Tests retrieval of exact duration. A wrong answer might say 12 weeks (a common statutory standard in other companies) or omit the 100% pay component."
"What is the home office setup allowance for new full-time employees?","Full-time employees receive a one-time home office setup stipend of $1,500 upon joining and an annual equipment refresh allowance of $500 per year. Receipts must be submitted through Concur within 60 days of purchase.","Full-time employees receive a one-time home office setup stipend of $1,500 upon joining and an annual equipment refresh allowance of $500 per year. Receipts must be submitted through Concur within 60 days of purchase.","orion-technologies-employee-handbook.pdf, p.9",factual,easy,"Tests whether both amounts are captured ($1,500 one-time and $500 annual). A wrong answer might give only one figure or omit the Concur 60-day submission requirement."
"What notice period is required when an IC2 Software Engineer resigns?","Employees at the IC1 to IC3 level are expected to give 2 weeks notice when resigning.","IC1 - IC3: 2 weeks [notice period upon voluntary resignation].","orion-technologies-employee-handbook.pdf, p.23",factual,easy,"Tests table retrieval. The question names IC2 specifically — the system must map IC2 into the IC1-IC3 band and return 2 weeks. A wrong answer might return the wrong band or give a generic answer without checking the level."
"How long is the probationary period for new employees at Orion?","All new regular employees serve a 90-day introductory period beginning on their first day of work. During this time they have access to standard benefits but cannot participate in the annual promotion cycle or tuition reimbursement.","All new regular employees serve a 90-day introductory period beginning on their first day of work. During this time, employees have access to all standard benefits but may not participate in certain programs such as the annual promotion cycle or tuition reimbursement.","orion-technologies-employee-handbook.pdf, p.5",factual,easy,"Tests whether the system retrieves both the duration (90 days) and the excluded programs. Omitting the exclusions gives an incomplete picture of what new employees can and cannot access."
"What is the phone number for Orion's Ethics Hotline?","The Ethics Hotline number is 1-800-676-3844. Reports can also be made online at oriontech.ethicspoint.com.","Ethics Hotline: 1-800-ORN-ETHI (1-800-676-3844). Online: oriontech.ethicspoint.com.","orion-technologies-employee-handbook.pdf, p.8",factual,easy,"Tests specific data point retrieval. A hallucinating system might fabricate a plausible-looking number. Verify the answer contains 1-800-676-3844 exactly."
"What are Orion's core hours — when all employees must be available?","Core hours at Orion are 10:00 AM to 3:00 PM in the employee's local time zone. All employees are expected to be available for meetings and collaboration during this window.","Core hours -- when all employees are expected to be available for meetings and collaboration -- are 10:00 AM to 3:00 PM in the employee's local time zone.","orion-technologies-employee-handbook.pdf, p.9",factual,easy,"Tests a specific operational detail. A wrong answer might say 9 AM to 5 PM based on standard assumptions, or omit the local time zone qualifier that matters for remote and international employees."
"When is the annual performance bonus paid at Orion?","The annual performance bonus is paid once per year in March, based on performance in the prior calendar year.","Orion's annual performance bonus is paid once per year, in March, based on performance in the prior calendar year.","orion-technologies-employee-handbook.pdf, p.10",factual,easy,"Tests a specific date. A system that answers annually without specifying March is incomplete. Employees need the month to plan their finances."
"How many paid holidays does Orion observe each year?","Orion observes 12 company-wide paid holidays per year.","Orion observes 12 company-wide paid holidays per year.","orion-technologies-employee-handbook.pdf, p.14",factual,easy,"Simple single-fact retrieval. Tests whether the exact number 12 is returned rather than a guess. A wrong answer might say 10 or 11 based on common US standards."
"How many paid days off does Orion provide for the death of a parent?","Orion provides 5 paid days of bereavement leave for the death of an immediate family member, which includes a spouse, child, parent, sibling, or grandparent.","Immediate family (spouse, child, parent, sibling, grandparent): 5 paid days.","orion-technologies-employee-handbook.pdf, p.15",factual,easy,"Tests whether the system correctly classifies parent as immediate family and returns 5 days. A wrong answer might give 3 days (the extended family rate) or fail to distinguish between immediate and extended family categories."
"How many therapy sessions per year does Orion's Employee Assistance Programme cover?","Orion's EAP, provided through Lyra Health, covers up to 25 therapy or counselling sessions per year. The service is confidential and free of charge for all employees and their household members.","Up to 25 therapy or counselling sessions per year. EAP services are confidential and free of charge. All employees and their household members have access.","orion-technologies-employee-handbook.pdf, p.13",factual,easy,"Tests a specific benefit number. A wrong answer might say 10 sessions (a common EAP standard) rather than the actual 25. The household members scope is also often missed."
"How much is the annual professional development budget per employee at Orion?","Orion provides $2,000 per year per employee for professional development. Approved uses include online courses, conferences, certifications, and books. Requests over $200 must be pre-approved through the People Portal.","Professional Development Stipend: $2,000 per year for courses, books, or conferences. Requests over $200 must be pre-approved through the People Portal.","orion-technologies-employee-handbook.pdf, p.13 and p.17",factual,easy,"Tests dollar amount plus pre-approval threshold. A common failure is stating the amount correctly but omitting the $200+ pre-approval rule — leaving employees to submit large expenses without the required sign-off."
"What is the maximum value of a gift an Orion employee can accept from a vendor?","Employees may accept gifts with a fair market value of $75 or less. Cash and cash equivalents such as gift cards and vouchers may never be accepted regardless of their value.","The gift or entertainment has a fair market value of USD $75 or less. It is not cash or a cash equivalent (gift cards, vouchers, etc.).","orion-technologies-employee-handbook.pdf, p.7",factual,easy,"Two-part rule: the $75 threshold AND the blanket ban on cash equivalents. A system that answers only $75 limit without mentioning the gift card prohibition gives an incomplete and potentially compliance-risky answer."
"What is the minimum password length required by Orion's IT security policy?","All accounts at Orion must use strong, unique passwords with a minimum of 16 characters. Multi-Factor Authentication is also mandatory for all Orion systems.","All accounts must use strong, unique passwords (minimum 16 characters). Multi-Factor Authentication (MFA) is mandatory for all Orion systems, including email, GitHub, AWS, and the VPN.","orion-technologies-employee-handbook.pdf, p.18",factual,easy,"Tests specific security policy retrieval. A wrong answer might say 8 or 12 characters based on common defaults. The 16-character requirement is above typical standards and matters for compliance verification."
